userid,nickname,gender,fans,follows,liked&collected
5a0826244eacab1d778b1ee9,Michelle悠666,2,2970,25,39038
555da2ecc2bdeb79276eea92,CoConut,2,341,17,5106
59d397c682ec3921606e400b,Aky,1,3436,12,33243
5ad940b411be105c406bf6a8,樱桃味的叽歪酱,1,280569,56,971605
5aa76e614eacab670e3311a9,婧妞美食,1,23911,48,195520
5a93f308e8ac2b7b12520a1e,Dearlangzi,1,2858,16,24128
5a94c39ce8ac2b1a31e83e10,张韶涵,1,2808961,11,1598323
5b20bde24eacab0f2b09e5ff,鲜花总是有魅力,1,1512,0,21512
566cf782e00dd82be76aac75,Lyz,1,3327,23,11824
5962082850c4b4392fc7a1be,一朵小花,2,1460,17,30261
5b20b55e11be101e80449205,Esther种了个草,1,4726,33,52225
5a8eaedae8ac2b124a1c239d,可爱多,1,4895,98,34972
5b20e1ade8ac2b54287662e3,邓莎,1,52470,1,20158
591424846a6a69443c042730,我叫张一一,2,2589,44,27234
57b08a18bd0da566bf4ab332,逼囤货的羊二傻呀💕,1,2455,29,65871
599be12b5e87e75937560f7a,吃货小公举,2,1140,5,22404
59fff93fe8ac2b61c5e7c0b4,Lincf_v,1,11113,58,86235
5ae2013f11be107a28944ac1,蕙子呀蕙子,1,93735,10,362876
5aeffa9b11be1052a95260ce,设计匠人,0,14953,122,60649
5b2227f311be102c418de4c1,建材互联,1,809,31,5024
5b0b709011be102e03edf30d,蒋勤勤,1,86978,0,44739
5a8231d611be1028906b9400,Lily조비결,1,6279,21,31624
57fd78726a6a694b15e47712,-sqiaoqiaooo,2,342,1,10498
5aeb0bfb4eacab276f62bcf9,阿末的美食日记,1,55521,63,489174
57217bb54775a7734466fdbd,💓暴走的大旭💓,1,96,8,665
5ac919f94eacab17cda74384,fea💜,2,1537,1,26075
5ad5eabe4eacab7516dbc494,风月远走,1,13795,9233,32455
5757c6546a6a6967b0730cad,YanSumisang,2,9843,97,53797
599e8bcc82ec3930e013b2f3,玻璃妖*,1,1228,3,9268
59cf3b1120e88f7c7ea84529,十井源子,1,11451,31,40382
5b2a036a11be1052ffd8a432,赶不上末班车,2,7179,1,77900
5a7e9f41e8ac2b19ce7cc08f,沸腾的小燕子,1,450,20,8004
59b7cdea5e87e71c0e87e906,此次野花金子,2,44364,39,521192
5a9ca7f94eacab7a1ee810d9,小鹿酱,1,66020,68,297117
596457ff5e87e76b7784e925,是卷卷呀,1,2567,3,23423
5ab0762711be100fb19bdb16,七品鲸,1,6431,16,70706
568c7c4daed7586bc7296b5a,Miss F,2,299,11,10369
5750e8ac5e87e7321874edf6,`柒柒、,2,2176,9,32014
5abb15dd4eacab6fbea4d384,吴昕,1,1697262,19,682699
573634f250c4b441b1e56741,奕含酱,2,134778,398,876821
54cbb2bcb4c4d61e97684274,咪总超有钱,1,16344,219,206090
5b3c9f3f4eacab720c9f4246,心恋我百转千回,1,1957,0,30562
5b35c3394eacab411e2ae9d8,躲不过夏天的小徐,2,1319,0,29388
5b3b5fc6e8ac2b084a1c3e34,少女狙击手,1,682,0,22433
55d1b09b5894460878f6eb23,Eeen,2,739,7,29008
5ab206da4eacab626b6deba9,叶一茜,1,74126,0,35647
5756eef9bd0da552daa7cc76,啾啾喵fie,2,9537,93,101730
57072e6184edcd701cecd7b7,菲菲Fiona💫,2,10262,90,57667
5834cad782ec393d658213b0,张嘉倪nicole,1,357901,7,158641
5ad5ab044eacab5c9f2b0aa5,小姐姐特搜队,1,254,11,3530
56a1d68e5e87e712bd1d83a5,一只奶瓶丫🍼,2,2598,40,18550
5a9f852a11be10350a6070f6,浩宇丫,0,976,156,16062
5b38d5da11be101e5aef9db0,橙子🍊,1,594,21,11089
5992732182ec396985732fb6,弦大吉,2,17847,18,148330
5b3b49ef4eacab4330c901c0,笑厌 森蝶,1,2917,0,32702
55028d22d39ea263618142c6,柏拉图的永恒,2,1520,99,17338
5772a5c982ec3910928a6222,VIVIK,1,10623,321,220589
