userid,nickname,gender,fans,follows,liked&collected
580062136a6a69786062b674,ElfinHouse,2,516239,121,441081
59a97aaa5e87e760e012dcd0,深夜种草的翠花,2,507398,21,548192
581ace5282ec3942e5c98575,喜结沫沫,1,503758,118,2391354
5915319d82ec3972c9eabbee,徐璐LULU,1,503693,11,160546
547c8250d6e4a94c08861b04,aboutyee,2,496554,189,362479
59d7931744363b28f2dabe0f,是3岁啊,1,492860,56,174163
54c63d02e7798957af1ce085,王会子小姐,1,488021,299,211188
53312980b4c4d6538568d8af,Jennyhigher,2,486102,327,250593
56569c476a6a6911c866a5b6,玩音乐的大Mia,2,485143,33,24411
56da16a31c07df253ede7264,//适可而止,2,482303,69,415641
5901671b82ec396d5fbbd2a1,_Grace文雅,2,481967,154,438356
595118865e87e735a5d3e42b,森林家的生活手记,2,473890,128,237003
58514d1e5e87e71458ab4b49,Yozuki毛毛酱,2,472310,225,181843
55616ff3484fb660df37fa72,兔子兔子爱吃肉,2,453203,672,287644
55728eb25894460fb8e2e7cc,未央小姐在成都,2,451974,63,210019
5a276b2711be1011c655976b,乔欣Bridgette,1,451257,4,313278
56a0543acb35fb2225975fd2,玛玛ma,1,447988,309,307639
57b70b136a6a696401665f8d,CatherineGuan,2,446569,19,149820
5a72c05ce8ac2b71db83cb1e,林依轮,0,435872,6,343527
54810175d6e4a9617e301eb9,Jessica漫生活,2,433008,340,154496
58fea24e5e87e7149ae8d116,小粽子Selina,1,421258,71,1598568
57674fafbd0da52424ffd856,Lenanana,2,420309,439,142831
599529b682ec392df48fbf83,团子E菲🍡,2,416434,165,104409
5a6ca8554eacab4b4e7834b7,陈数,1,416379,0,195479
5960e5ab82ec3922ca202443,极光少年Forvi,1,414419,32,138540
55bcd903f5a2636a0a837cac,AYUE阿月,1,400823,392,82645
55745d93e4b1cf1020bf8af2,wimi酱,1,397665,33,38855
58c8d64750c4b44d9a2afd3a,嘻嘻哈哈的x,2,389474,93,127524
56573055e4251d624c5fbcd2,吹小姐Tracy,1,383666,1019,244361
579742a550c4b467d64c645b,妖孽孙小欣,2,371985,139,109188
5465b09ed6e4a91ff3b765c8,莲子想要布偶喵,2,362801,59,22706
55f98875a75c9563d071c183,史黛西小贝,1,358706,140,262890
5834cad782ec393d658213b0,张嘉倪nicole,1,357901,7,158641
55d53a13b7ba22174bf7575b,周姑娘名小诗,2,354280,197,275643
54ff8693d39ea2187b091707,Caubyyyy,2,345449,271,493734
59b74a5950c4b40cab41276a,张沫凡MOMO,2,335768,6,458828
5ad47bb580008671255c6917,吴宣仪,2,332376,0,382222
576ec2336a6a697c64af01d8,钟金琪,2,331374,36,67359
595c2bbb50c4b4639c4964f4,会筑空间设计,1,326329,67,93701
5a4632d5e8ac2b3cb61f9067,吴佩慈,1,326085,42,94562
5a616fc2e8ac2b23eb2ec5e4,杜杜明明没肚肚,0,326032,122,602896
5a8a5555e8ac2b11a286b3d5,魔魔,1,325434,51,871298
5a73c9a8e8ac2b5de8788eb5,刘嘉玲,1,324125,0,144375
56a5ff1f50c4b44fd3cad6b3,赵哲羚irene,2,322968,232,136430
59dc6ac944363b7f29c41abc,小饭粒funni,1,315902,207,517331
545b8cfae779890cf4621a11,小雪儿,1,311312,129,130080
5aa6061f4eacab09f53a8598,黄子韬,0,308418,0,127299
52f59215b4c4d66b2eafa21d,小墨与阿猴,2,307682,57,42754
5adc62efe8ac2b66df28723f,李小冉,1,306834,1,164329
564fb117b7ba221fa4037426,小A家的饭团,1,306263,32,122920
5a64dc97e8ac2b0cf08bbab6,阿花花酱,1,306189,32,204012
551b57d32e1d9318ce9e182d,洪辰瑶Kelly,2,303604,90,153194
598421386a6a6928cd052565,陈小熙,1,298322,232,100394
58379b1a6a6a69495a2a47ea,lenachka_Lee,1,293098,95,116451
5666cbffcb35fb557f64f575,CiCi,1,292474,22,350455
556ce677b7ba227a416d0039,Deeena,2,290548,160,246881
5a5317ee4eacab5fe6eab15a,Kevin凯文老师,0,288167,6,223498
56c16166b8c8b470e83407a2,Sayo柚,1,287689,417,290698
5747e6f65e87e70309e90da6,LyraLiu,2,286889,168,235258
58dcbb1150c4b448b56d5be0,邱子芸儿,2,285348,13,109497
5ad940b411be105c406bf6a8,樱桃味的叽歪酱,1,280569,56,971605
5990bfe35e87e72c8c9d8d7c,Sophia·陈彦婷,2,275129,45,525545
5ad47bb580008671255c6918,孟美岐,2,274218,0,253834
53e2fb56b4c4d66131c5505b,yourlittlepink,2,271140,122,155223
5a6130b111be104de73c3a1a,璇儿_Tereza,1,269910,97,394084
5577d09ca75c956b2b389cd5,🌸biangbiangbiang,2,266330,282,973170
5938c87482ec394fc63cd58e,有住家装,1,263645,104,467092
557fde0db7ba220db1a003f0,郑合惠子,1,253233,3,128540
59bf6bb444363b733f6a9435,朱丹,2,253045,6,92312
58df46345e87e70efce96bd4,萌煮辅食,1,250578,1,490842
53ecd973b4c4d662511b2818,lotus薛小兜,2,248799,305,247420
5987fc4e50c4b447de46698e,原来是西门大嫂,2,240922,13,257563
5586ce18c2bdeb6efdea296c,WSYURI_小云云,2,240096,118,57607
5a7d3c774eacab01eadb013d,Tina阿姨,1,234760,76,228320
5580198462a60c3fa52de519,猴子妈妈笑哈哈,1,234520,319,420437
