userid,nickname,gender,fans,follows,liked&collected
5aa76e614eacab670e3311a9,婧妞美食,1,23922,48,195566
5b2a63ae4eacab7f40be5ee5,娜娜老师,1,23563,17,122680
58d7458150c4b42fc049562b,詹小猪Coco,2,1059184,278,713887
5aa6061f4eacab09f53a8598,黄子韬,0,308444,0,127347
5a3fb06611be106d3959b42d,歪腻酱,1,14808,43,109418
5ac74a68e8ac2b314ef5c942,鬼马真,1,7490,141,76477
542e51e0d6e4a9376278a8c0,酱香奶皂,1,5261,4,40843
59f044164eacab5fd809fbe2,金晨,1,681704,1,279324
5a7c0d0ae8ac2b746a0addb4,晗茜儿,1,30746,32,145586
578a10e382ec3957b2b2bbf7,青山邮寄,1,4353,26,12668
5a747a7ce8ac2b215c98d8ef,欧阳娜娜Nana,1,1971647,12,846047
579a309950c4b42d91642551,pheobe,1,1002,0,4227
5a73c9a8e8ac2b5de8788eb5,刘嘉玲,1,324446,0,144505
5abbad9ce8ac2b3a2bc6378d,咩咩哎哟xi,1,427,167,2367
5ac0afbf4eacab35ebf496e4,沈梦辰,1,635735,5,323151
5989acfe6a6a69635caf56ae,Taotaoseeyou-,2,174,7,4238
596c455f82ec397dc9607a0f,Vikyyyyy,2,330,13,4699
5adc900911be106d21df19e3,湘湘,1,3997,29,17411
5a2547d111be10422846b6dd,小柠檬呀哈,1,646,73,5684
59dc6ac944363b7f29c41abc,小饭粒funni,1,315970,207,517380
5a6d9fd4e8ac2b4459193a7e,桑桑已被占用,1,1240,3,19797
59102fdc5e87e75b250abcb2,我是YEAH老师,2,569541,63,1358623
5a3a5fe7e8ac2b42f7afb1ba,调色少女,1,31008,6,108801
5b04c6d1f7e8b97c2989a218,白日梦想家,2,4300,58,40750
5ac46cc0e8ac2b533d374630,瑾宁妈妈,1,40846,120,433726
55f829fe5894461171503c35,陈贝拉Bella,1,57507,79,527194
59eae0dde8ac2b788b502ca4,马户户,1,6725,94,98816
5571248a9eb5782b1d9a959f,TTTTAO,1,189333,180,119523
5acc2f0ae8ac2b6a248abcac,小酒窝麻麻,1,360,37,3841
5406935db4c4d61f895aded2,戚薇 7V,2,1668154,0,362283
5b15ef1fe8ac2b518d6d4a5f,爱做白日梦的静子,1,1638,2,5212
574ebe0d82ec3959ea9521fc,美妆情报局,2,3139339,1282,4038847
5816de126a6a692826366d0c,一个不能没有美甲的小女孩,2,8921,3,60322
591914ec5e87e75333d7b171,侘寂之静,2,898,38,10880
5701f0071c07df4f2dc4e905,Kying_,2,4158,17,36728
54e5c510e779895d97956e48,Cecilia宋妍霏,1,100592,0,37882
5b327aa411be102d4c20dc18,梦小小,1,1260,6,21743
580062136a6a69786062b674,ElfinHouse,2,516267,121,441130
5a41afae4eacab551fd10a6b,🎀潘小晨🎀,1,25201,65,137324
5961b8d46a6a697ec3475ada,陈瑶,1,89033,0,34742
5afc258d11be1066943eec6a,张雨绮,1,1800569,0,872269
59dcd8cb20e88f3f88cc905e,少女琳的小号💗,1,1885,11,21504
5b2b8c0ce8ac2b3233376861,树树喔sunya,1,1452,16,8991
5a1a4ed9e8ac2b09561f1daa,是木易呀,1,1764,9,23201
5a930d5f11be106910bc97ca,Emily,1,1291,18,13850
5ad47bb580008671255c6917,吴宣仪,2,332376,0,382222
5af1210811be106593031504,木鸟短租,1,1761,39,15512
5995701a82ec392d028fbe2b,小小shiny呀,2,5942,490,82268
58e629ec50c4b44a69003278,陈赏chen,1,1917,20,25625
5a94c39ce8ac2b1a31e83e10,张韶涵,1,2809389,11,1598616
5af68257e8ac2b5e230622eb,黄圣依,1,101682,0,24952
5a5b15114eacab68cf717c70,迪玛,1,19242,9357,201669
58993aed6a6a6941dfba7cd3,追剧少女林淼淼,2,14263,16,67006
59be8f5344363b0d1a87a660,小香香馒头,2,5174,40,38987
5a6130b111be104de73c3a1a,璇儿_Tereza,1,269930,97,394112
59b74a5950c4b40cab41276a,张沫凡MOMO,2,335777,6,458853
5903f92582ec395be2fd60b6,UPBEAT,2,479,25,7855
5b10d1b511be10687d4f796e,花椒叶💕,1,1260,7,21427
5915319d82ec3972c9eabbee,徐璐LULU,1,503693,11,160546
55e51a0567bc657c9409b5fb,梅公子的喵,1,82611,29,413184
5afd820be8ac2b182f09891e,猪猪侠的棒棒糖,1,5274,33,98708
59b003806a6a696e34d79b4e,🐟➕0⃣️,2,636,12,4512
568248e950c4b417e8d96d3c,毛毛醬,2,1585,36,21163
5aad8e8711be10160fdf5de1,张俪,1,540872,3,312556
59b12ba36a6a6950bdd3496a,惜若小仙女,2,6809,49,83301
57e73e7f5e87e734c2209530,凌听雨,1,2526531,365,1274191
5836fa8c5e87e76d53384fe7,毛毛大人不吃肉👀,2,1031,13,10603
5b20e1ade8ac2b54287662e3,邓莎,1,52495,1,20179
58b6841150c4b4244925e74f,一兜糖家居APP,1,15341,16,93011
5b3a304f4eacab54a34a2115,小众好物,1,9744,17,117436
5a6b2f83e8ac2b3235a0b9ae,小娇,1,2113,530,27243
5711a3b11c07df60b079b2cf,MiTao-泥泥,1,13177,22,89122
5b286b5311be102494297c8c,dibirq,2,161,0,4879
588fdbfe6a6a694d2b12a42b,瑜伽ॐgrace雨焉🌻,2,4413,25,27660
5a853eace8ac2b17685ad634,剋卡小洛莓,1,151,18,2747
54e5b01ee779894b4efed786,苗圃,2,14491,0,7370
5834cad782ec393d658213b0,张嘉倪nicole,1,357963,7,158676
5ad151cbe8ac2b52fc2e12ce,小软软er,1,19465,66,268176
5aeb0bfb4eacab276f62bcf9,阿末的美食日记,1,55533,63,489315
5a1501164eacab6ff23f7aeb,丢丢酱,1,74635,295,587564
5965c341b1da144df45af0ea,霹雳小浣熊,1,3701,45,50144
5ae07ae5e8ac2b4ef10b9593,小言00,1,37948,20,230517
5ae2013f11be107a28944ac1,蕙子呀蕙子,1,93779,10,362973
566abef05e87e70fea69cc4d,森森小姐在打滚,2,128200,60,165605
5863695c50c4b43e5ff5787e,熊点点,2,416,53,3822
55c7f308a75c9516cec6ff7f,撩妹大魔王,1,30407,97,62183
5adfe0eb4eacab04ea3f01bb,菇凉一米八,1,5155,24,56973
5acacb3b11be103a48398f7b,Ddaling,1,8602,7,64920
5840ee5782ec390b6afa573e,悠悠食记,1,1319708,135,2552903
5ab73aa911be101493177f32,LibraSaN,1,7930,8,90492
58bad4196a6a696a6253afe0,Chili-徐辣儿🌶,2,47272,16,236238
5b1bccb44eacab746112ddba,颜幽幽幽,1,87,0,3649
565a77120bf90c6cd4281908,握不住的沙,2,3639,4792,8542
584cca3382ec396808072556,和你偷月亮,1,5477,18,34846
5ae1d4eee8ac2b6ec18b1b60,Jackson周嘉诚,0,29553,2,6036
57f3ec765e87e71a0c7e69eb,小熊麻麻很普通,2,3475,11,4702
5a7d3c774eacab01eadb013d,Tina阿姨,1,234760,76,228320
56cfa9b74775a74e6f8bdb1e,张予曦 yci,1,21585,1,19566
5964bc086a6a691402deb3ed,不爱吃胡萝卜的兔酱,2,3897,29,92022
5ad4591d11be102ee399998e,_洁儿,2,9516,8,41010
56658ea8b8c8b417bb5ceb22,妍妍妍,2,2436,4,20032
54e57d72e7798931fc455c26,机器猫（请设我为星标朋友）,2,1224,27,17371
54fd0895d39ea21dc92f25d4,CHEERYCHIN,2,94655,137,266212
5a47b41b11be102c8650e8d3,仙人世界,1,790,39,13176
5a704c7a4eacab5462e5d469,Pink颜泡泡,1,29794,29,333672
5b1defd9e8ac2b023a2d902b,会飞的小土豆,1,1166,8,29269
5b188090e8ac2b03e50d6f4a,甜不拉几Kk,1,771,98,21797
5b1a3487e8ac2b4ac2d61234,电影阿九酱,1,2187,6,30459
5aca4f0a4eacab21307ae114,汪肥喵润chubbypet,1,1819,6,6167
5a10f7b111be101730afc59e,azUsAyooo,1,10577,39,155471
55b0c198e4b1cf70ded1348f,超级小胖丁Ember,1,3022,39,23547
57ab241c34609441e8a83170,元走走,1,15474,32,189275
55b9752cb7ba2218b0c2bcf0,马苏,1,89704,0,56304
5aab19fee8ac2b0c38e04b26,綠茶椰菜花小姐,1,17443,143,121269
5a7bfc75e8ac2b67255f2675,容儿,1,1269,229,15277
58c8db7850c4b4709a2afc43,陈大索,1,6200,21,88709
5b3228ce11be100efb431a6a,何洁,1,9568,0,3702
565bd8e303eb845712847713,Chiving,1,546,70,5848
566cf782e00dd82be76aac75,Lyz,1,3337,23,11855
5a300bb9e8ac2b1650f6fbd0,Insbaby,2,2497,10,10236
59b6025ddb2e600408c55de1,菲林feeling,1,2314,164,13170
58955b0e82ec3972e5ea19b7,🌸Olivia•花🌸‍,2,47867,27,331598
592ea3425e87e7383dc4ecf6,糖纸妹妹y,2,98,8,5619
58a6c19a5e87e776e58b581f,丫头--祢太傻,2,303,1,3987
5b29e67fe8ac2b6cca9265ee,下阵雨,1,365,0,5401
5607fc8733f60c1c050815c4,圈哥没事儿,2,145,140,3492
5a72e0e411be1076e421a5d1,呵呵妈咪,1,5425,34,11881
59acd5e46a6a6964492fa603,夏乐乐_mts8888886,2,989,49,14645
56b692384775a76367336a6d,允儿Lamanda,2,75757,1922,306473
5b34b14b11be1036b95ffc51,硬森森,1,388,16,7309
5934500582ec39362763df57,Venus滴美麻麻,2,2955,48,34173
5a267f3a4eacab55483ff758,Hulala.J,1,3582,46,76576
556295c667bc655433f2a1dd,你的嘎嘎酱,2,430,249,2315
5a787993e8ac2b58575cb998,香香de花园,1,4417,17,16484
55732420a75c95692e388ada,Lu露酱是🍅控,2,11363,99,33608
5732bdf582ec390aff193608,hello我是沱沱,1,1151229,179,318113
5967a4d250c4b428e7d02d76,爱吃口红的喵,2,1461,16,7950
58b5b1a25e87e753bff6a237,杨柳依的美食厨房,1,1101023,256,1248589
5b20b8c4e8ac2b43f5687409,胖焦儿,1,1367,29,26034
5657a29503eb84720eaf2ad3,No name,2,872,31,20774
5a8a5555e8ac2b11a286b3d5,魔魔,1,325434,51,871298
576f640782ec395810a15bec,张佳宁Karlina,2,42751,0,24289
5ae015f74eacab1bce7f559e,小猪配饭,1,16723,43,51533
5750e8ac5e87e7321874edf6,`柒柒、,2,2184,9,32082
586481573460943d03ef2823,狐大妮,1,6810,81,87370
5afe5c7d4eacab7bfaf8a9d9,综艺少女,1,516,7,5600
56c8274884edcd3fab040034,白吖吖,1,1270,43,18932
5b03ffb1e8ac2b1017f7d3cb,秋原,1,2414,219,8250
5960646f6a6a694345475ac2,gty,2,127,3,2069
565d5f060cdc2b0c46f5e61b,泡泡,1,4419,19,61538
545f8e55d6e4a96462a5bd8d,YveS-angX,2,33453,165,187619
584fd81c50c4b4594b3ab6b9,江铠同Kiton,1,7488,5,878
5a4b4cc311be10235318537e,MissRED仙女社,1,100789,732,579664
5acf7d7de8ac2b753f617762,蔡蔡,1,41156,4,90825
568946b26a6a696d708131e4,西西嘻嘻,2,24401,36,147741
5a99507911be104a8b022041,零叄饱饱-,1,4033,120,42838
5591c14d67bc6558e757c61d,杨杨同学,2,1531,249,12040
5aa08e3a4eacab4aadebde24,清迈先生灬,0,6092,82,22302
5ab1e8e04eacab530e5b82a8,笑起来会卡粉的明儿,1,1521,68,33815
5890405650c4b4561cf65384,Ryan子衡,0,1353,38,8027
5784635650c4b4684ba40e9a,桃纸O,1,141,107,1582
5ae2cfe54eacab66ef5ae712,景甜,1,927977,8,330127
5aaf32c74eacab0d8a376cac,圆脸贵妇,1,9788,15,126534
5b3258e9f7e8b9084d3b12bb,阿丽,2,703,17,15195
5b2a036a11be1052ffd8a432,赶不上末班车,2,7182,1,77914
5b1f25f54eacab70e4757e8e,严痘痘,1,11512,20,39290
59059f4b82ec39332086b375,安娜贝尔史密斯,1,130995,40,625549
5a770e6a11be103990f4d2b0,阿里娅,1,2501,37,10781
5a1faee511be106cea7bc04a,樱桃妈妈,1,743,75,2404
5a4263b94eacab2211557e07,leafiaw,1,7926,35,12189
5b3852d24eacab275eb23487,枫声,0,115,64,1956
5aed3d724eacab31d35121d0,000,1,87572,51,633960
5b018b70e8ac2b66dca79b33,阿里李,1,1186,1,7338
57b08a18bd0da566bf4ab332,逼囤货的羊二傻呀💕,1,2455,29,65922
592db9d182ec3914b37f5602,hr123y,1,1514,3,19400
5ab9b8464eacab61d92bcdd6,蒋梦婕,1,71993,5,31588
57bf10f150c4b473f08f68dc,布丁麻麻,2,4293,36,31500
565a9b13b8c8b421d883f747,🎐大大大仙儿,1,13699,48,86537
5b0665f611be101a16b0b88f,餐饮界明小刚,0,3323,1,23753
5437dbddd6e4a94540eb81b5,陈锦庄,2,1832,74,15358
5ae5a71ae8ac2b32cbeefba0,鬼鬼吳映潔,1,47878,0,31446
55faecd167bc654bfa38bc4b,姜在赫,0,562378,8,895767
5af9682ae8ac2b3e19a1e0ca,Rei爷,1,7835,13,222650
5afa8a67e8ac2b417814c4ea,REDhome小红家,0,8300,264,37866
5ae96aab4eacab5f8067782e,队长CAIN,0,15362,6,22401
5a6ca8554eacab4b4e7834b7,陈数,1,416391,0,195487
5ae0917811be104d41a8e594,爱健身的灭霸,0,420,3,1611
5ae7ec584eacab40b7c97e62,夏十一皮一下,1,8921,11,96097
5adc62efe8ac2b66df28723f,李小冉,1,306834,1,164329
575b8dad50c4b4478bc8e512,Milk_9,1,33418,39,59377
5a333bf24eacab21a336ede2,蔡文静,1,1690292,29,933274
5591fc88484fb616dcf432c4,天枰座的m,2,1965,7,6738
599073c350c4b424bd942d27,Lily_18100738829,2,331,60,6927
5a3e7af211be1063898eb3ab,粉红色发带,1,817,9,29232
5a152ef8e8ac2b5c7a805197,吃货薯,0,717045,762,634595
5a149f1b4eacab76a069d8a8,安安的妈妈,1,576,10,8078
5a59c9de4eacab5444e095a3,胡冰卿,1,153816,9,67206
5a73c5fa4eacab4c4ccc9778,赵露思,1,76626,11,43248
5ab2632111be1078011eb943,桔子妈,1,6188,2959,19658
5b208c1fe8ac2b3236c5a8e0,芒果甜甜圈,1,3899,2,71438
59a9a5825e87e726ae6d5afe,鑫妹,2,8937,72,20507
5a249c45e8ac2b1e8f6b18d0,Fighting For OS🌻,1,41586,26,50717
59c7168451783a0f5acc16a1,博轩妈妈,2,331,28,2976
57f98eba82ec395a44f31bed,👑侯小猴🎀🎈,2,210,27,3877
